1;Каква е столицата на Франция?;Берлин;Мадрид;Париж;Рим;2;1
2;Колко континента има на Земята?;5;6;7;8;2;1
3;Кой е написал „Под игото“?;Христо Ботев;Пейо Яворов;Иван Вазов;Елин Пелин;2;1
4;Кой е най-дългата река в света?;Амазонка;Нил;Янцзъ;Мисисипи;1;2
5;Кой е основателят на Фейсбук?;Стив Джобс;Марк Зукърбърг;Бил Гейтс;Лари Пейдж;1;1
6;Коя планета е най-близо до Слънцето?;Венера;Земя;Меркурий;Марс;2;1
7;Кой е химическият символ на златото?;Au;Ag;Zn;Cu;0;2
8;Колко е 8 × 7?;54;56;58;60;1;1
9;Кой е първият човек, стъпил на Луната?;Нийл Армстронг;Бъз Олдрин;Юрий Гагарин;Джон Глен;0;1
10;Какъв е националният спорт на Япония?;Джудо;Карате;Сумо;Айкидо;2;2
11;Кой е авторът на „1984“?;Джордж Оруел;Алдъс Хъксли;Франц Кафка;Ърнест Хемингуей;0;2
12;Кое е най-голямото животно на планетата?;Слон;Син кит;Жираф;Акула;1;1
13;Коя е най-високата планина в света?;Еверест;К2;Монблан;Канчендзьонга;0;1
14;Коя е столицата на Италия?;Венеция;Милано;Неапол;Рим;3;1
15;Какъв е химическият символ на водата?;H2O;CO2;O2;NaCl;0;1
16;Кой е написал „Хамлет“?;Мигел де Сервантес;Шекспир;Толстой;Данте;1;1
17;Колко океана има на Земята?;3;4;5;6;2;2
18;Кой е първият президент на САЩ?;Ейбрахам Линкълн;Джордж Вашингтон;Томас Джеферсън;Джон Адамс;1;1
19;Кой е създателят на Теорията на относителността?;Исак Нютон;Алберт Айнщайн;Галилео Галилей;Стивън Хокинг;1;2
20;Кой орган в човешкото тяло изпомпва кръвта?;Черният дроб;Белите дробове;Сърцето;Бъбреците;2;1
21;Кое е най-голямото море в света?;Андрийско море;Карибско море;Средиземно море;Бяло море;2;2
22;Коя е столицата на Испания?;Барселона;Мадрид;Севиля;Валенсия;1;1
23;Какъв е химическият символ на желязото?;Ir;Fe;Pb;Hg;1;2
24;Кой е написал „Малкият принц“?;Антоан дьо Сент-Екзюпери;Луис Карол;Братя Грим;Шарл Перо;0;1
25;Коя планета е известна като Червената планета?;Марс;Юпитер;Сатурн;Венера;0;1
26;Кое е най-малкото съставно число?;1;2;3;4;1;2
27;Коя държава има най-голямо население?;Индия;САЩ;Китай;Русия;2;1
28;Каква е столицата на Германия?;Мюнхен;Берлин;Хамбург;Франкфурт;1;1
29;Кое е най-голямото езеро в света?;Байкал;Виктория;Каспийско море;Танганайка;2;2
30;Кой е авторът на „Война и мир“?;Достоевски;Толстой;Чехов;Гогол;1;2
